county_fips,n_points,mean_risk,pct_feasible,pct_critical,pct_high,dominant_mode
37001,6,38.6,50.0,33.3,16.7,clear
37003,6,59.3,33.3,66.7,0.0,vegetation
37005,6,28.2,33.3,16.7,16.7,clear
37007,6,31.8,16.7,16.7,16.7,clear
37009,6,48.1,33.3,50.0,0.0,vegetation
37011,6,36.1,33.3,33.3,16.7,vegetation
37013,6,29.5,66.7,33.3,0.0,clear
37015,6,24.5,66.7,16.7,16.7,clear
37017,6,31.0,16.7,16.7,16.7,vegetation
37019,6,35.6,50.0,33.3,0.0,vegetation
37021,6,75.4,0.0,83.3,0.0,vegetation
37023,6,45.2,50.0,50.0,0.0,vegetation
37025,6,17.2,50.0,16.7,0.0,clear
37027,6,42.3,50.0,50.0,0.0,clear
37029,4,0.0,100.0,0.0,0.0,clear
37031,6,15.0,83.3,16.7,0.0,clear
37033,6,68.1,0.0,66.7,0.0,vegetation
37035,6,50.3,16.7,50.0,0.0,vegetation
37037,6,59.5,16.7,66.7,0.0,vegetation
37039,6,80.1,0.0,83.3,0.0,vegetation
37041,5,10.8,60.0,0.0,0.0,clear
37043,8,55.5,0.0,50.0,0.0,vegetation
37045,6,19.2,66.7,16.7,0.0,clear
37047,6,33.0,33.3,33.3,0.0,vegetation
37049,5,7.8,60.0,0.0,0.0,clear
37051,6,40.9,33.3,33.3,16.7,vegetation
37053,5,31.7,40.0,0.0,40.0,vegetation
37055,5,6.0,80.0,0.0,0.0,clear
37057,6,41.1,50.0,50.0,0.0,vegetation
37059,6,50.0,16.7,33.3,33.3,vegetation
37061,6,16.1,16.7,0.0,16.7,clear
37063,6,18.0,66.7,0.0,33.3,clear
37065,6,0.0,100.0,0.0,0.0,clear
37067,6,42.3,0.0,33.3,16.7,building
37069,6,0.0,66.7,0.0,0.0,clear
37071,6,35.8,50.0,33.3,0.0,vegetation
37073,6,32.0,50.0,33.3,0.0,vegetation
37075,6,79.2,0.0,83.3,0.0,vegetation
37077,6,42.6,33.3,50.0,0.0,clear
37079,6,41.5,33.3,50.0,0.0,clear
37081,6,43.8,33.3,50.0,0.0,vegetation
37083,6,14.5,83.3,16.7,0.0,clear
37085,6,30.7,33.3,33.3,0.0,clear
37087,6,59.1,33.3,66.7,0.0,vegetation
37089,6,36.3,33.3,33.3,0.0,vegetation
37091,5,11.7,60.0,0.0,20.0,clear
37093,6,74.5,16.7,83.3,0.0,vegetation
37095,5,0.0,80.0,0.0,0.0,clear
37097,6,58.2,16.7,66.7,0.0,vegetation
37099,6,57.6,0.0,50.0,16.7,vegetation
37101,6,15.2,66.7,16.7,0.0,clear
37103,6,29.4,33.3,33.3,0.0,vegetation
37105,6,49.2,33.3,50.0,0.0,vegetation
37107,6,23.5,50.0,16.7,16.7,clear
37109,8,40.5,50.0,37.5,12.5,clear
37111,6,86.0,0.0,83.3,16.7,vegetation
37113,6,73.1,0.0,83.3,0.0,vegetation
37115,6,55.7,16.7,66.7,0.0,vegetation
37117,5,18.1,80.0,20.0,0.0,clear
37119,6,29.7,66.7,33.3,0.0,clear
37121,6,75.1,16.7,83.3,0.0,vegetation
37123,6,44.6,33.3,50.0,0.0,clear
37125,6,38.8,33.3,33.3,16.7,vegetation
37127,6,28.2,50.0,33.3,0.0,clear
37129,5,7.3,80.0,0.0,0.0,clear
37131,7,22.6,57.1,14.3,14.3,clear
37133,6,0.0,83.3,0.0,0.0,clear
37135,6,41.8,33.3,33.3,16.7,vegetation
37137,6,20.6,50.0,16.7,0.0,clear
37139,6,37.3,50.0,33.3,0.0,clear
37141,6,49.4,33.3,50.0,0.0,vegetation
37143,6,10.9,66.7,0.0,16.7,clear
37145,6,30.1,50.0,33.3,0.0,clear
37147,6,60.4,0.0,33.3,50.0,vegetation
37149,6,75.2,0.0,66.7,16.7,vegetation
37151,6,15.1,66.7,16.7,0.0,clear
37153,6,50.2,0.0,50.0,0.0,vegetation
37155,6,44.7,50.0,50.0,0.0,clear
37157,6,45.0,33.3,50.0,0.0,vegetation
37159,6,41.3,33.3,33.3,16.7,clear
37161,6,50.1,33.3,50.0,16.7,vegetation
37163,6,59.1,16.7,50.0,16.7,vegetation
37165,6,29.2,50.0,33.3,0.0,vegetation
37167,6,32.1,50.0,33.3,0.0,vegetation
37169,6,46.9,33.3,50.0,0.0,vegetation
37171,6,30.2,66.7,33.3,0.0,clear
37173,5,45.3,20.0,40.0,20.0,vegetation
37175,6,75.2,16.7,83.3,0.0,vegetation
37177,6,6.3,66.7,0.0,0.0,clear
37179,6,33.6,33.3,16.7,16.7,vegetation
37181,6,0.0,100.0,0.0,0.0,clear
37183,6,54.4,16.7,50.0,16.7,vegetation
37185,6,27.6,66.7,33.3,0.0,clear
37187,6,29.9,66.7,33.3,0.0,clear
37189,6,65.1,16.7,66.7,0.0,vegetation
37191,6,30.5,50.0,16.7,16.7,clear
37193,6,83.8,0.0,83.3,16.7,vegetation
37195,6,12.3,66.7,16.7,0.0,clear
37197,6,27.8,66.7,33.3,0.0,clear
37199,6,50.7,33.3,50.0,0.0,vegetation
