idx,location_id,county_fips,lat,lon,feasible,failure_mode,risk_score,risk_tier,dominant,slope_deg,canopy_max_m,building_count,elapsed_s
1,37728629,37001,35.912076,-79.326325,True,feasible,0.0,low,clear,0.4,13.0,0,14.6
2,38051972,37001,35.911978,-79.466845,False,mixed,89.8,critical,vegetation,6.4,28.0,0,9.6
3,37672517,37001,36.18379,-79.327725,True,feasible,0.0,low,clear,1.9,19.0,3,11.4
4,37672685,37001,36.180589,-79.467749,False,mixed,56.4,high,vegetation,2.2,22.0,2,8.1
5,37930463,37001,36.045833,-79.323505,True,feasible,0.0,low,clear,0.6,20.0,7,1.9
6,37655550,37001,36.045157,-79.469348,False,mixed,85.1,critical,vegetation,3.2,21.0,8,7.5
7,42310880,37003,35.844192,-81.286352,False,mixed,89.5,critical,vegetation,3.3,28.0,3,10.9
8,42137325,37003,35.975743,-81.060553,False,mixed,84.8,critical,vegetation,5.2,23.0,3,8.6
9,42309915,37003,35.977263,-81.287591,False,mixed,90.5,critical,vegetation,17.0,24.0,0,9.3
10,42313041,37003,35.975589,-81.173536,False,mixed,90.8,critical,vegetation,9.1,23.0,3,11.5
11,42309969,37003,35.844191,-81.175583,True,feasible,0.0,low,clear,5.3,26.0,4,3.8
12,25722108,37003,35.844538,-81.061353,True,feasible,0.0,low,clear,2.0,22.0,3,6.9
13,4405353,37005,36.416731,-80.963277,False,local_terrain,0.0,low,clear,28.3,25.0,11,13.1
14,42273798,37005,36.523167,-81.130375,False,mixed,90.0,critical,vegetation,10.5,23.0,0,14.4
15,42258475,37005,36.52633,-81.277999,False,local_building,10.3,low,building,4.1,24.0,2,11.1
16,42157165,37005,36.415352,-81.266338,True,feasible,0.0,low,clear,3.5,25.0,2,7.2
17,42097202,37005,36.525607,-80.979417,False,local_building,69.2,high,building,3.4,16.0,4,9.0
18,42272376,37005,36.428277,-81.134219,True,feasible,0.0,low,clear,4.6,27.0,2,11.0
19,40084878,37007,35.098024,-79.962688,False,roof_unusable,0.0,low,clear,1.2,9.0,3,2.4
20,40084900,37007,35.006371,-79.9844,False,local_building,60.3,high,building,2.1,10.0,6,1.7
21,188998152,37007,35.005394,-80.206231,False,roof_unusable,0.0,low,clear,4.2,23.0,5,2.2
22,40263189,37007,34.880342,-80.204347,False,mixed,40.0,moderate,vegetation,1.6,24.0,1,2.7
23,40272471,37007,35.140687,-80.205128,True,feasible,0.0,low,clear,6.0,21.0,3,4.2
24,123523950,37007,34.871086,-79.978851,False,mixed,90.2,critical,vegetation,0.0,25.0,0,7.8
25,42334494,37009,36.33641,-81.490238,False,mixed,33.8,moderate,vegetation,10.5,21.0,1,8.2
26,193013152,37009,36.362644,-81.34347,False,mixed,76.7,critical,vegetation,15.4,23.0,3,3.3
27,42083607,37009,36.503224,-81.654976,True,feasible,0.0,low,clear,8.8,21.0,1,9.1
28,42085695,37009,36.503423,-81.326954,True,feasible,0.0,low,clear,3.0,26.0,3,7.1
29,42317012,37009,36.361458,-81.662266,False,mixed,87.6,critical,vegetation,16.8,18.0,2,11.0
30,42156299,37009,36.504011,-81.492555,False,mixed,90.2,critical,vegetation,18.2,22.0,1,8.7
31,42226992,37011,35.989928,-81.863016,False,mixed,77.5,critical,vegetation,14.8,20.0,2,10.8
32,178242578,37011,36.104894,-81.986065,False,mixed,50.6,high,vegetation,3.9,23.0,5,13.1
33,42013755,37011,36.182229,-81.846053,False,mixed,0.0,low,clear,30.1,19.0,3,3.7
34,42227600,37011,35.985576,-81.986097,False,mixed,88.5,critical,vegetation,7.1,23.0,6,2.1
35,178487574,37011,36.203587,-81.972706,True,feasible,0.0,low,clear,1.2,28.0,0,29.3
36,177859789,37011,36.106993,-81.834629,True,feasible,0.0,low,clear,3.8,22.0,4,7.4
37,39558164,37013,35.607461,-77.064825,True,feasible,0.0,low,clear,0.4,14.0,3,12.5
38,39346969,37013,35.356236,-76.827994,False,mixed,86.7,critical,vegetation,0.1,24.0,1,22.3
39,39490970,37013,35.607744,-76.602986,False,mixed,90.1,critical,vegetation,0.1,21.0,0,24.1
40,39715333,37013,35.609825,-76.824313,True,feasible,0.0,low,clear,0.8,7.0,0,8.0
41,39366961,37013,35.401699,-77.077871,True,feasible,0.0,low,clear,0.7,1.0,0,12.2
42,178822193,37013,35.334278,-76.625357,True,feasible,0.0,low,clear,0.1,10.0,11,4.2
43,39731146,37015,35.954771,-76.791484,False,mixed,57.9,high,vegetation,1.3,20.0,4,7.0
44,39729978,37015,35.98033,-77.139101,True,feasible,0.0,low,clear,2.8,20.0,1,13.5
45,39732036,37015,35.947436,-76.993252,True,feasible,0.0,low,clear,0.3,21.0,0,1.9
46,178724179,37015,36.149224,-76.988459,True,feasible,0.0,low,clear,1.7,17.0,0,6.8
47,39649036,37015,36.150335,-76.796293,True,feasible,0.0,low,clear,0.6,21.0,2,1.8
48,39438624,37015,36.150022,-77.178797,False,mixed,89.0,critical,vegetation,3.8,18.0,0,14.5
49,41117361,37017,34.741824,-78.552269,False,mixed,81.4,critical,vegetation,0.2,22.0,0,7.9
50,41343524,37017,34.730519,-78.779227,False,mixed,51.1,high,vegetation,4.5,23.0,4,4.2
51,41052298,37017,34.490901,-78.784239,False,mixed,32.9,moderate,vegetation,0.3,25.0,3,5.1
52,41527912,37017,34.681942,-78.34797,False,mixed,0.0,low,clear,1.6,21.0,2,1.9
53,41508336,37017,34.487662,-78.537826,False,local_building,20.4,moderate,building,0.3,15.0,9,3.7
54,41535374,37017,34.469203,-78.295777,True,feasible,0.0,low,clear,0.0,0.0,0,8.1
55,41510761,37019,34.235901,-78.240821,False,mixed,32.7,moderate,vegetation,0.3,22.0,0,6.3
56,177903749,37019,33.973369,-78.292409,False,mixed,90.6,critical,vegetation,2.2,22.0,0,8.2
57,178205370,37019,34.159111,-78.506786,True,feasible,0.0,low,clear,0.7,15.0,0,5.4
58,41591158,37019,33.962073,-78.053151,True,feasible,0.0,low,clear,0.8,21.0,0,2.3
59,186904207,37019,34.2272145,-78.06322,False,mixed,90.3,critical,vegetation,3.4,25.0,0,6.3
60,41472383,37019,33.971883,-78.525569,True,feasible,0.0,low,clear,0.7,21.0,0,11.3
61,42373884,37021,35.697551,-82.329359,False,mixed,90.9,critical,vegetation,6.9,26.0,0,4.9
62,42670875,37021,35.716147,-82.52748,False,mixed,90.9,critical,vegetation,15.0,25.0,0,8.6
63,42537987,37021,35.706805,-82.751326,False,regional_terrain,0.0,low,clear,0.0,20.0,5,10.1
64,178258552,37021,35.525471,-82.291095,False,mixed,89.7,critical,vegetation,34.2,25.0,1,8.8
65,37293987,37021,35.527398,-82.756643,False,mixed,90.1,critical,vegetation,30.8,28.0,2,9.4
66,42725296,37021,35.524758,-82.524881,False,mixed,90.7,critical,vegetation,8.9,27.0,3,9.7
67,41996015,37023,35.66778,-81.462941,True,feasible,0.0,low,clear,2.9,21.0,2,7.8
68,115694057,37023,35.668097,-81.655632,True,feasible,3.7,low,vegetation,3.7,20.0,7,12.7
69,4435827,37023,35.878737,-81.847729,False,mixed,87.1,critical,vegetation,16.3,25.0,2,7.5
70,42210584,37023,35.668348,-81.847341,False,mixed,90.3,critical,vegetation,10.0,20.0,0,10.3
71,42223266,37023,35.860921,-81.672248,False,mixed,90.1,critical,vegetation,1.4,28.0,11,7.8
