geoid_bg,n_points,mean_risk,median_risk,n_feasible,pct_feasible,n_infeasible,pct_low,pct_moderate,pct_high,pct_critical,dominant_mode
370010207024,1,85.1,85.1,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
370010212042,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
370010213002,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
370010215003,1,56.4,56.4,0,0.0,1,0.0,0.0,100.0,0.0,vegetation
370010218022,1,89.8,89.8,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
370010219021,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
370030401003,1,84.8,84.8,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
370030402001,1,90.8,90.8,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
370030402003,1,90.5,90.5,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
370030405004,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
370030406004,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
370030407001,1,89.5,89.5,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
370059501002,1,69.2,69.2,0,0.0,1,0.0,0.0,100.0,0.0,building
370059501004,1,0.0,0.0,0,0.0,1,100.0,0.0,0.0,0.0,clear
370059502001,1,90.0,90.0,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
370059503002,1,10.3,10.3,0,0.0,1,100.0,0.0,0.0,0.0,building
370059503003,2,0.0,0.0,2,100.0,0,100.0,0.0,0.0,0.0,clear
370079201001,2,30.2,30.2,0,0.0,2,50.0,0.0,50.0,0.0,clear
370079203011,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
370079203012,1,0.0,0.0,0,0.0,1,100.0,0.0,0.0,0.0,clear
370079206001,1,40.0,40.0,0,0.0,1,0.0,100.0,0.0,0.0,vegetation
370079206003,1,90.2,90.2,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
370099702002,1,90.2,90.2,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
370099703001,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
370099703002,1,87.6,87.6,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
370099707021,1,33.8,33.8,0,0.0,1,0.0,100.0,0.0,0.0,vegetation
370099708011,1,76.7,76.7,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
370099708022,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
370119301001,1,0.0,0.0,0,0.0,1,100.0,0.0,0.0,0.0,clear
370119301003,1,90.4,90.4,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
370119302001,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
370119302002,1,77.5,77.5,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
370119303021,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
370119303022,1,50.6,50.6,0,0.0,1,0.0,0.0,100.0,0.0,vegetation
370119304003,1,88.5,88.5,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
370139301011,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
370139301012,1,90.1,90.1,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
370139302003,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
370139308001,2,43.4,43.4,1,50.0,1,50.0,0.0,0.0,50.0,vegetation
370139308002,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
370139309001,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
370159601002,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
370159602002,1,0.0,0.0,1,100.0,0,100.0,0.0,0.0,0.0,clear
370159603001,1,89.0,89.0,0,0.0,1,0.0,0.0,0.0,100.0,vegetation
370159603003,2,0.0,0.0,2,100.0,0,100.0,0.0,0.0,0.0,clear
370159604022,1,57.9,57.9,0,0.0,1,0.0,0.0,100.0,0.0,vegetation
