county_fips,n_points,mean_risk,median_risk,n_feasible,pct_feasible,n_infeasible,pct_low,pct_moderate,pct_high,pct_critical,dominant_mode
37001,6,38.6,28.2,3,50.0,3,50.0,0.0,16.7,33.3,clear
37003,6,59.3,87.2,2,33.3,4,33.3,0.0,0.0,66.7,vegetation
37005,6,28.2,5.2,2,33.3,4,66.7,0.0,16.7,16.7,clear
37007,6,31.8,20.0,1,16.7,5,50.0,16.7,16.7,16.7,clear
37009,6,48.1,55.2,2,33.3,4,33.3,16.7,0.0,50.0,vegetation
37011,7,43.9,50.6,2,28.6,5,42.9,0.0,14.3,42.9,vegetation
37013,8,22.1,0.0,6,75.0,2,75.0,0.0,0.0,25.0,clear
37015,6,24.5,0.0,4,66.7,2,66.7,0.0,16.7,16.7,clear
37017,7,26.5,20.4,2,28.6,5,42.9,28.6,14.3,14.3,clear
37019,6,35.6,16.4,3,50.0,3,50.0,16.7,0.0,33.3,vegetation
37021,6,75.4,90.4,0,0.0,6,16.7,0.0,0.0,83.3,vegetation
37023,6,45.2,45.4,3,50.0,3,50.0,0.0,0.0,50.0,vegetation
37025,6,17.2,0.0,3,50.0,3,83.3,0.0,0.0,16.7,clear
37027,6,42.3,36.4,3,50.0,3,50.0,0.0,0.0,50.0,clear
37029,4,0.0,0.0,4,100.0,0,100.0,0.0,0.0,0.0,clear
37031,8,11.3,0.0,7,87.5,1,87.5,0.0,0.0,12.5,clear
37033,7,71.2,89.8,0,0.0,7,14.3,14.3,0.0,71.4,vegetation
37035,7,55.9,82.3,1,14.3,6,28.6,14.3,0.0,57.1,vegetation
37037,9,49.7,86.3,3,33.3,6,44.4,0.0,0.0,55.6,vegetation
37039,7,81.6,90.0,0,0.0,7,0.0,14.3,0.0,85.7,vegetation
37041,5,10.8,0.0,3,60.0,2,80.0,20.0,0.0,0.0,clear
37043,8,55.5,62.0,0,0.0,8,25.0,25.0,0.0,50.0,vegetation
37045,6,19.2,0.0,4,66.7,2,66.7,16.7,0.0,16.7,clear
37047,7,28.3,0.0,3,42.9,4,57.1,14.3,0.0,28.6,clear
37049,5,7.8,0.0,3,60.0,2,80.0,20.0,0.0,0.0,clear
37051,7,35.0,0.0,2,28.6,5,57.1,0.0,14.3,28.6,clear
37053,6,26.4,18.4,3,50.0,3,50.0,16.7,33.3,0.0,clear
37055,5,6.0,0.0,4,80.0,1,80.0,20.0,0.0,0.0,clear
37057,7,35.3,0.4,4,57.1,3,57.1,0.0,0.0,42.9,clear
37059,6,50.0,59.5,1,16.7,5,33.3,0.0,33.3,33.3,vegetation
37061,6,16.1,0.0,1,16.7,5,66.7,16.7,16.7,0.0,clear
37063,9,12.0,0.0,4,44.4,5,77.8,0.0,22.2,0.0,clear
37065,7,12.9,0.0,6,85.7,1,85.7,0.0,0.0,14.3,clear
37067,6,42.3,49.4,0,0.0,6,33.3,16.7,16.7,33.3,building
37069,6,0.0,0.0,4,66.7,2,100.0,0.0,0.0,0.0,clear
37071,7,30.7,3.7,4,57.1,3,57.1,14.3,0.0,28.6,vegetation
37073,6,32.0,7.2,3,50.0,3,66.7,0.0,0.0,33.3,vegetation
37075,6,79.2,89.6,0,0.0,6,0.0,16.7,0.0,83.3,vegetation
37077,7,49.5,79.1,2,28.6,5,42.9,0.0,0.0,57.1,vegetation
37079,6,41.5,37.2,2,33.3,4,50.0,0.0,0.0,50.0,clear
37081,6,43.8,42.2,2,33.3,4,50.0,0.0,0.0,50.0,vegetation
37083,7,12.5,0.0,6,85.7,1,85.7,0.0,0.0,14.3,clear
37085,6,30.7,16.0,2,33.3,4,50.0,16.7,0.0,33.3,clear
37087,7,64.6,88.2,2,28.6,5,28.6,0.0,0.0,71.4,vegetation
37089,6,36.3,22.8,2,33.3,4,50.0,16.7,0.0,33.3,vegetation
37091,6,22.1,0.0,3,50.0,3,66.7,0.0,16.7,16.7,clear
